datetime,주오염물질,등급,지수,등급,PM10,등급,PM2.5,등급,오존,등급,이산화질소,등급,일산화탄소,등급,아황산가스
2024-10-29:23,이산화질소,좋음,69,좋음,24,좋음,13,좋음,0.001,보통,0.041,좋음,0.76,좋음,0.0015
2024-10-29:22,이산화질소,좋음,73,좋음,24,좋음,13,좋음,0.0011,보통,0.0433,좋음,0.81,좋음,0.0015
2024-10-29:21,이산화질소,좋음,76,좋음,22,좋음,12,좋음,0.0011,보통,0.0452,좋음,0.7,좋음,0.0014
2024-10-29:20,이산화질소,좋음,72,좋음,20,좋음,10,좋음,0.0041,보통,0.0431,좋음,0.65,좋음,0.0014
2024-10-29:19,이산화질소,좋음,56,좋음,17,좋음,8,좋음,0.015,보통,0.0332,좋음,0.59,좋음,0.0014
2024-10-29:18,오존,좋음,44,좋음,14,좋음,6,좋음,0.0261,좋음,0.0252,좋음,0.48,좋음,0.0014
2024-10-29:17,오존,좋음,58,좋음,12,좋음,4,보통,0.0384,좋음,0.0136,좋음,0.39,좋음,0.0014
2024-10-29:16,오존,좋음,59,좋음,11,좋음,5,보통,0.04,좋음,0.0121,좋음,0.38,좋음,0.0014
2024-10-29:15,오존,좋음,60,좋음,10,좋음,5,보통,0.0408,좋음,0.011,좋음,0.41,좋음,0.0013
2024-10-29:14,오존,좋음,57,좋음,11,좋음,6,보통,0.038,좋음,0.0102,좋음,0.43,좋음,0.0013
2024-10-29:13,오존,좋음,55,좋음,12,좋음,7,보통,0.0354,좋음,0.0089,좋음,0.44,좋음,0.0013
2024-10-29:12,오존,좋음,52,좋음,14,좋음,9,보통,0.0313,좋음,0.0102,좋음,0.46,좋음,0.0014
2024-10-29:11,오존,좋음,36,좋음,14,좋음,9,좋음,0.0214,좋음,0.0171,좋음,0.5,좋음,0.0015
2024-10-29:10,이산화질소,좋음,32,좋음,13,좋음,9,좋음,0.0189,좋음,0.0193,좋음,0.51,좋음,0.0015
2024-10-29:09,이산화질소,좋음,39,좋음,12,좋음,8,좋음,0.0148,좋음,0.0234,좋음,0.53,좋음,0.0015
2024-10-29:08,이산화질소,좋음,34,좋음,11,좋음,8,좋음,0.0176,좋음,0.0202,좋음,0.47,좋음,0.0015
2024-10-29:07,오존,좋음,36,좋음,12,좋음,9,좋음,0.0217,좋음,0.0164,좋음,0.45,좋음,0.0016
2024-10-29:06,오존,좋음,44,좋음,12,좋음,10,좋음,0.0261,좋음,0.0113,좋음,0.45,좋음,0.0014
2024-10-29:05,오존,좋음,49,좋음,13,좋음,11,좋음,0.0292,좋음,0.008,좋음,0.44,좋음,0.0014
2024-10-29:04,오존,좋음,51,좋음,14,좋음,11,보통,0.0303,좋음,0.0074,좋음,0.45,좋음,0.0015
2024-10-29:03,오존,좋음,51,좋음,14,좋음,11,보통,0.0303,좋음,0.0075,좋음,0.45,좋음,0.0015
2024-10-29:02,오존,좋음,51,좋음,14,좋음,11,보통,0.0306,좋음,0.0076,좋음,0.45,좋음,0.0014
2024-10-29:01,오존,좋음,51,좋음,14,좋음,12,보통,0.0307,좋음,0.0075,좋음,0.47,좋음,0.0014
2024-10-28:24,오존,좋음,49,좋음,16,좋음,14,좋음,0.0291,좋음,0.0087,좋음,0.49,좋음,0.0013
2024-10-28:23,PM2.5,보통,54,좋음,21,보통,17,좋음,0.0275,좋음,0.0109,좋음,0.51,좋음,0.0014
2024-10-28:22,PM2.5,보통,64,좋음,25,보통,21,좋음,0.0272,좋음,0.0127,좋음,0.54,좋음,0.0013
2024-10-28:21,PM2.5,보통,72,좋음,30,보통,24,좋음,0.0274,좋음,0.0132,좋음,0.57,좋음,0.0014
2024-10-28:20,PM2.5,보통,77,좋음,30,보통,26,좋음,0.01,좋음,0.0293,좋음,0.7,좋음,0.0015
2024-10-28:19,PM2.5,보통,74,좋음,29,보통,25,좋음,0.012,보통,0.0315,좋음,0.68,좋음,0.0016
2024-10-28:18,PM2.5,보통,69,좋음,28,보통,23,좋음,0.0216,좋음,0.0238,좋음,0.59,좋음,0.0016
2024-10-28:17,PM2.5,보통,66,좋음,27,보통,22,보통,0.0304,좋음,0.0179,좋음,0.51,좋음,0.0017
2024-10-28:16,PM2.5,보통,66,좋음,29,보통,22,보통,0.0332,좋음,0.0166,좋음,0.49,좋음,0.0014
2024-10-28:15,PM2.5,보통,72,보통,32,보통,24,보통,0.0374,좋음,0.0139,좋음,0.52,좋음,0.0014
2024-10-28:14,PM2.5,보통,77,보통,36,보통,26,보통,0.0334,좋음,0.0144,좋음,0.55,좋음,0.0013
2024-10-28:13,PM2.5,보통,82,보통,41,보통,28,보통,0.0308,좋음,0.0144,좋음,0.57,좋음,0.0014
2024-10-28:12,PM2.5,보통,85,보통,45,보통,29,좋음,0.0267,좋음,0.0162,좋음,0.58,좋음,0.0013
